"Exness","Symbol","Timestamp","Bid","Ask"
"exness","BTCUSD_Zero_Spread","2025-11-09 00:00:05.090Z",102291.86,102291.86
"exness","BTCUSD_Zero_Spread","2025-11-09 00:00:07.348Z",102292.21,102292.21
"exness","BTCUSD_Zero_Spread","2025-11-09 00:00:08.670Z",102293.1,102293.1
"exness","BTCUSD_Zero_Spread","2025-11-09 00:00:16.599Z",102299.65,102299.65
"exness","BTCUSD_Zero_Spread","2025-11-09 00:00:16.734Z",102302.0,102302.0
"exness","BTCUSD_Zero_Spread","2025-11-09 00:00:16.761Z",102304.41,102304.41
"exness","BTCUSD_Zero_Spread","2025-11-09 00:00:24.098Z",102301.66,102301.66
"exness","BTCUSD_Zero_Spread","2025-11-09 00:00:32.815Z",102300.72,102300.72
"exness","BTCUSD_Zero_Spread","2025-11-09 00:00:35.167Z",102302.73,102302.73
"exness","BTCUSD_Zero_Spread","2025-11-09 00:00:38.551Z",102304.14,102304.14
"exness","BTCUSD_Zero_Spread","2025-11-09 00:00:41.601Z",102304.01,102304.01
"exness","BTCUSD_Zero_Spread","2025-11-09 00:00:44.875Z",102303.88,102303.88
"exness","BTCUSD_Zero_Spread","2025-11-09 00:00:47.284Z",102302.48,102302.48
"exness","BTCUSD_Zero_Spread","2025-11-09 00:00:48.022Z",102295.24,102295.24
"exness","BTCUSD_Zero_Spread","2025-11-09 00:00:48.077Z",102292.05,102292.05
"exness","BTCUSD_Zero_Spread","2025-11-09 00:00:48.098Z",102289.75,102289.75
"exness","BTCUSD_Zero_Spread","2025-11-09 00:00:48.170Z",102285.79,102285.79
"exness","BTCUSD_Zero_Spread","2025-11-09 00:00:48.311Z",102282.25,102282.25
"exness","BTCUSD_Zero_Spread","2025-11-09 00:00:48.431Z",102277.6,102277.6
"exness","BTCUSD_Zero_Spread","2025-11-09 00:00:50.463Z",102276.37,102276.37
"exness","BTCUSD_Zero_Spread","2025-11-09 00:00:50.522Z",102273.86,102273.86
"exness","BTCUSD_Zero_Spread","2025-11-09 00:00:52.781Z",102268.08,102268.08
"exness","BTCUSD_Zero_Spread","2025-11-09 00:00:52.890Z",102264.43,102264.43
"exness","BTCUSD_Zero_Spread","2025-11-09 00:00:52.973Z",102261.18,102261.18
"exness","BTCUSD_Zero_Spread","2025-11-09 00:00:53.903Z",102264.95,102264.95
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:01.442Z",102262.84,102262.84
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:01.498Z",102259.71,102259.71
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:01.537Z",102255.2,102255.2
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:01.550Z",102252.58,102252.58
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:06.591Z",102252.48,102252.48
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:08.126Z",102259.34,102259.34
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:11.011Z",102255.08,102255.08
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:11.935Z",102253.41,102253.41
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:18.216Z",102253.53,102253.53
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:22.133Z",102247.52,102247.52
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:28.372Z",102250.81,102250.81
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:37.838Z",102254.8,102254.8
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:41.941Z",102255.54,102255.54
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:46.099Z",102255.58,102255.58
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:53.421Z",102248.12,102248.12
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:53.903Z",102250.7,102250.7
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:53.927Z",102253.89,102253.89
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:54.327Z",102256.4,102256.4
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:55.018Z",102260.32,102260.32
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:55.061Z",102263.05,102263.05
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:55.427Z",102265.36,102265.36
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:55.768Z",102270.95,102270.95
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:55.778Z",102273.35,102273.35
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:57.728Z",102281.63,102281.63
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:58.642Z",102281.51,102281.51
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:59.275Z",102276.81,102276.81
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:59.334Z",102273.76,102273.76
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:59.359Z",102269.79,102269.79
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:59.371Z",102267.47,102267.47
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:59.425Z",102265.05,102265.05
"exness","BTCUSD_Zero_Spread","2025-11-09 00:01:59.532Z",102260.76,102260.76
"exness","BTCUSD_Zero_Spread","2025-11-09 00:02:05.647Z",102257.2,102257.2
"exness","BTCUSD_Zero_Spread","2025-11-09 00:02:07.431Z",102255.95,102255.95
"exness","BTCUSD_Zero_Spread","2025-11-09 00:02:07.491Z",102260.14,102260.14
"exness","BTCUSD_Zero_Spread","2025-11-09 00:02:08.337Z",102258.26,102258.26
"exness","BTCUSD_Zero_Spread","2025-11-09 00:02:08.422Z",102260.87,102260.87
"exness","BTCUSD_Zero_Spread","2025-11-09 00:02:09.458Z",102262.25,102262.25
"exness","BTCUSD_Zero_Spread","2025-11-09 00:02:11.570Z",102270.68,102270.68
"exness","BTCUSD_Zero_Spread","2025-11-09 00:02:13.620Z",102270.81,102270.81
"exness","BTCUSD_Zero_Spread","2025-11-09 00:02:15.459Z",102269.05,102269.05
"exness","BTCUSD_Zero_Spread","2025-11-09 00:02:16.051Z",102274.13,102274.13
"exness","BTCUSD_Zero_Spread","2025-11-09 00:02:16.562Z",102276.98,102276.98
"exness","BTCUSD_Zero_Spread","2025-11-09 00:02:18.304Z",102275.08,102275.08
"exness","BTCUSD_Zero_Spread","2025-11-09 00:02:18.564Z",102279.48,102279.48
"exness","BTCUSD_Zero_Spread","2025-11-09 00:02:24.504Z",102278.15,102278.15
"exness","BTCUSD_Zero_Spread","2025-11-09 00:02:24.560Z",102280.74,102280.74
"exness","BTCUSD_Zero_Spread","2025-11-09 00:02:25.133Z",102283.54,102283.54
"exness","BTCUSD_Zero_Spread","2025-11-09 00:02:30.401Z",102278.85,102278.85
"exness","BTCUSD_Zero_Spread","2025-11-09 00:02:35.668Z",102275.24,102275.24
"exness","BTCUSD_Zero_Spread","2025-11-09 00:02:40.727Z",102275.12,102275.12
"exness","BTCUSD_Zero_Spread","2025-11-09 00:02:44.993Z",102275.01,102275.01
"exness","BTCUSD_Zero_Spread","2025-11-09 00:02:53.849Z",102279.63,102279.63
"exness","BTCUSD_Zero_Spread","2025-11-09 00:02:53.909Z",102282.98,102282.98
"exness","BTCUSD_Zero_Spread","2025-11-09 00:02:54.410Z",102286.96,102286.96
"exness","BTCUSD_Zero_Spread","2025-11-09 00:03:03.748Z",102284.09,102284.09
"exness","BTCUSD_Zero_Spread","2025-11-09 00:03:07.688Z",102288.68,102288.68
"exness","BTCUSD_Zero_Spread","2025-11-09 00:03:08.803Z",102292.26,102292.26
"exness","BTCUSD_Zero_Spread","2025-11-09 00:03:09.086Z",102296.37,102296.37
"exness","BTCUSD_Zero_Spread","2025-11-09 00:03:10.039Z",102302.47,102302.47
"exness","BTCUSD_Zero_Spread","2025-11-09 00:03:10.318Z",102306.15,102306.15
"exness","BTCUSD_Zero_Spread","2025-11-09 00:03:11.106Z",102306.34,102306.34
